date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:35	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-1cc521bd0c719cbe;gz%22	https://brasilnoticia.space/robots.txt		(from )
10:56:36	131156/131156	---M-Z	200	added ('OK')	text/html	etag:%2220054-692888ec-a772cc0828a4fc6b;gz%22	https://brasilnoticia.space/lk/REAA-MP8W/	C:/Users/mathe/Downloads/makit/brasilnoticia.space/lk/REAA-MP8W/index.html	(from )
10:56:36	7797/7797	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2006%20Dec%202025%2013:56:47%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/Users/mathe/Downloads/makit/analytics.tiktok.com/i18n/pixel/events.js	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:36	37391/37391	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1e7be69b7fe44c4cb7b1a3db8f4f37f9~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1e7be69b7fe44c4cb7b1a3db8f4f37f9_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:36	25866/25866	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:42%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1bb587e2c71c4f38a02839475226d605~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/1bb587e2c71c4f38a02839475226d605_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:37	32276/32276	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c8ef1808aeb9413aa11588c0fd93fa64~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c8ef1808aeb9413aa11588c0fd93fa64_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:37	36912/36912	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/81dabe31a111450698f8f6fc3aaa256a~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/81dabe31a111450698f8f6fc3aaa256a_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:37	33876/33876	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/039051307c2143bf9e8e3c5f32b6d2a2~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/039051307c2143bf9e8e3c5f32b6d2a2_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:37	60443/60443	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c021acb176084519b1d68e8b72c09283~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/c021acb176084519b1d68e8b72c09283_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
10:56:37	85889/85889	---M--	200	added ('OK')	image/jpeg	date:Tue,%2025%20Nov%202025%2022:12:43%20GMT	https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/7c2fb940ac714cab9da95467b206127b~tplv-o3syd03w52-resize-jpeg:800:800.jpeg?dr=15584&t=555f072d&ps=933b5bde&shp=6ce186a1&shcp=e1be8f53&idc=my&from=1826719393	C:/Users/mathe/Downloads/makit/p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/7c2fb940ac714cab9da95467b206127b_tplv-o3syd03w52-resize-jpeg_800_8002fe7.jpg	(from https://brasilnoticia.space/lk/REAA-MP8W/)
